tail	Actinomycetes	Agaricomycetes	Alphaproteobacteria	Bacilli	Bacteroidia	Betaproteobacteria	Chitinophagia	Clostridia	Coriobacteriia	Cyanophyceae	Deinococci	Dothideomycetes	Epsilonproteobacteria	Erysipelotrichia	Eurotiomycetes	Flavobacteriia	Fusobacteriia	Gammaproteobacteria	Leotiomycetes	Methanobacteria	Mortierellomycetes	Negativicutes	Saccharomycetes	Schizosaccharomycetes	Sordariomycetes	Spirochaetia	Tissierellia	Verrucomicrobiia	sum	even_odd
C2:0	3706	208	0	657	101	2	0	233	0	53	0	14	0	0	2	0	47	521	0	0	6	0	13	0	8	0	0	94	5665	even
C10:0	329	1	3	1157	288	2217	0	114	2	0	2	0	0	2	0	0	19	1123	0	0	0	39	0	0	0	0	31	181	5508	even
C4:0	263	1	0	1689	769	44	0	361	501	1	0	33	35	31	22	6	142	304	4	0	2	12	0	0	12	0	34	37	4303	even
C8:0	213	5	0	1014	212	1314	1	131	6	4	6	0	0	6	2	0	22	968	0	0	0	37	1	0	0	5	26	68	4041	even
C16:0	1197	102	12	450	299	73	0	94	14	338	0	0	0	9	15	2	70	1005	0	0	0	16	0	0	0	53	51	0	3800	even
C18:2	356	1658	0	1	0	0	0	0	0	5	0	0	0	5	228	0	0	652	0	0	0	0	0	0	0	3	0	0	2908	even
C18:1	357	375	113	34	0	12	0	0	0	2	0	0	0	0	3	1	0	942	0	0	0	0	0	0	0	120	0	0	1959	even
C12:0	37	1	2	170	9	1275	0	17	0	1	0	0	0	0	0	0	3	273	0	0	0	5	0	0	0	0	5	5	1803	even
C6:0	170	65	2	347	349	55	0	171	12	1	2	0	3	12	8	0	24	295	0	0	0	26	0	0	0	1	25	72	1640	even
C10:1	2	0	0	37	2	474	0	6	0	0	0	0	0	0	0	0	0	62	0	0	0	1	0	0	0	0	0	0	584	even
C15:0	84	0	30	175	67	0	0	0	1	1	0	0	0	0	0	51	0	37	0	0	0	0	0	0	0	0	0	0	446	odd
C16:1	42	16	2	69	1	36	2	0	0	76	0	0	0	0	0	13	0	115	0	0	0	0	0	0	0	1	0	0	373	even
C14:0	41	0	0	64	1	51	0	0	0	0	0	0	0	1	3	0	1	153	0	0	0	0	0	0	0	0	0	0	315	even
C5:0	49	7	0	15	3	0	0	4	140	0	0	0	0	0	5	0	0	13	0	0	0	4	0	0	0	0	0	2	242	odd
C18:0	17	0	0	35	0	3	0	0	0	93	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	4	0	0	160	even
C14:1	12	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	125	even
C13:0	13	0	2	63	1	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	106	odd
C17:0	44	0	0	53	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	100	odd
C15:1	17	0	0	56	0	1	0	0	0	1	0	0	0	0	0	2	0	10	0	0	0	0	0	0	0	0	0	0	87	odd
C17:1	34	0	0	24	0	2	0	0	0	2	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	84	odd
C11:4	14	0	1	46	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	66	odd
C11:0	11	0	2	41	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	59	odd
C3:0	32	0	0	7	4	0	0	2	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	50	odd
C9:0	1	0	0	22	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	25	odd
C18:3	3	16	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	even
C21:0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	odd
C7:0	6	0	0	5	0	0	0	1	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	17	odd
C9:4	0	0	0	1	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	even
C13:1	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	odd
C16:2	1	1	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	even
C6:1	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	7	even
C12:1	0	0	0	2	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	even
C20:4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	even
C8:1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	even
C12:4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	3	even
C17:2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	odd
C20:0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	even
C24:1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	even
C11:1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	odd
C16:3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	even
C11:2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	odd
C15:2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	odd
C19:1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	odd
C5:1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	odd