feature - Skin	compound	day0	early	active	advanced		feature - Soil	compound	day0	early	active	advanced
MS_482	Tyramine-C2:0	34.96134867	1.359137658	6.9573015	55.38478008		MS_482	Tyramine-C2:0	0.9242446	0.706168686	7.571316842	6.224271486
MS_513	Putrescine-C6:0	0	0.089553594	1.214912817	121.2367249		MS_513	Putrescine-C6:0	0	0	4.678897993	1.002475598
MS_1040	Tyramine-C3:0	8.429545556	8.754713629	15.45175227	55.22268595		MS_1040	Tyramine-C3:0	6.028139094	4.049986937	13.88784182	10.826539
MS_786	Cadaverine-C6:0	1.684864894	1.605021718	6.59427036	253.3598171		MS_786	Cadaverine-C6:0	0.841845358	0.476215645	6.083543501	2.837813657
MS_1945	Leucine-C4:0	8.492072822	9.005536644	43.7328505	498.5541723		MS_1945	Leucine-C4:0	5.381625489	3.622926497	26.99955838	44.04020066
MS_1595	GABA-C6:0	21.03077201	22.50957229	36.3314631	112.0396633		MS_1595	GABA-C6:0	17.70771678	11.64389362	15.92602507	20.07596307
MS_1496	Tyramine-C4:0	6.577466936	8.422067134	24.00186403	224.934613		MS_1496	Tyramine-C4:0	5.537629358	4.202903171	39.52892716	17.95645007
MS_4153	2-phenethylamine-C6:0	1.994827069	2.477622921	88.84151829	566.2550305		MS_4153	2-phenethylamine-C6:0	0.050819594	0.106189445	22.50849314	20.06517024
MS_6091	Amylamine-C9:0	1.785808511	2.043058981	71.17089075	272.4209009		MS_6091	Amylamine-C9:0	0.276215183	0.196163778	9.853674717	17.46112841
MS_2871	Tyramine-C6:0	3.490731942	3.976933618	21.5344647	150.5199343		MS_2871	Tyramine-C6:0	0.976981914	0.755619863	3.731833257	5.819115127
MS_1053	Tyrosine-C4:0	27.43432479	28.76614678	43.71531697	69.135376		MS_1053	Tyrosine-C4:0	32.25736149	21.4516159	28.38969202	25.15231024
MS_5008	Leucine-C9:0	4.990740139	5.287582569	9.332373963	27.70628018		MS_5008	Leucine-C9:0	0.972009706	0.720656853	1.417204171	2.844866145
MS_475	Histidine-C9:4	0.982059678	0.872805068	9.342694408	152.5079269		MS_475	Histidine-C9:4	0.611210703	0.261528433	1.175470245	8.101676469
MS_4871	Putrescine-C14:0	0.211422233	0.232630838	0.371579393	38.19312108		MS_4871	Putrescine-C14:0	0	0	0.394470609	1.4886566
MS_9453	Amylamine-C16:0	11.20422974	13.06476833	192.9003297	2073.766898		MS_9453	Amylamine-C16:0	2.450239444	6.145430708	36.27972592	357.9862553
MS_5865	Putrescine-C16:0	0	0.077786708	1.556825774	170.9056066		MS_5865	Putrescine-C16:0	0	0	0.68465727	6.926222813
MS_8665	2-phenethylamine-C14:0	7.583809381	3.411342892	23.02839007	273.6579699		MS_8665	2-phenethylamine-C14:0	0.091228222	0.164895218	1.704112151	16.16860998
MS_6023	Cadaverine-C16:0	0.406278133	0.204287556	1.845135622	284.6360736		MS_6023	Cadaverine-C16:0	0	0.027937626	0.503668151	7.440874627
MS_7675	Leucine-C14:0	9.019630161	8.097970208	16.62664672	114.0163793		MS_7675	Leucine-C14:0	1.408146389	0.74351365	2.858911128	12.83075592
MS_9086	2-phenethylamine-C15:0	1.215984183	1.510728394	8.185388604	59.88901261		MS_9086	2-phenethylamine-C15:0	0.528731111	0.125709419	1.295733348	3.983433347
MS_5929	Histamine-C16:0	3.414486419	2.106036229	3.335865838	41.70732371		MS_5929	Histamine-C16:0	0.127110681	0.085229408	0.37368366	4.906522055
MS_9203	Amylamine-C18:2	1.889167881	1.631148623	48.64932155	656.1032178		MS_9203	Amylamine-C18:2	0.339147858	0.256723011	16.54583548	48.68199219
MS_9522	Amylamine-C18:1	2.588564461	6.146619577	380.6038013	3237.165045		MS_9522	Amylamine-C18:1	0.486941617	2.072407371	77.22766613	399.3336444
MS_6098	Putrescine-C18:1	0	0.293828004	2.009105013	174.316702		MS_6098	Putrescine-C18:1	0	0	1.232444749	7.131222498
MS_7969	Alanine/Sarcosine-C18:1	12.64877047	10.54295157	41.51245245	205.5758995		MS_7969	Alanine/Sarcosine-C18:1	4.788286022	3.712825139	8.740558173	19.397957
MS_9850	Amylamine-C18:0	28.27384856	31.36551206	90.05159028	475.2807594		MS_9850	Amylamine-C18:0	8.0172136	15.19587018	14.0875198	103.8880793
MS_8453	Valine-C16:0	10.61962499	10.5268227	23.40998827	220.4258448		MS_8453	Valine-C16:0	1.760993447	1.114033134	3.624645051	34.65289438
MS_5898	Glutamic acid-C14:0	30.12806806	33.19995363	196.9693219	798.3580471		MS_5898	Glutamic acid-C14:0	6.597329308	6.53052153	9.690358198	20.49364154
MS_8942	2-phenethylamine-C16:1	2.714942675	1.953357065	27.11299287	248.0615443		MS_8942	2-phenethylamine-C16:1	0.701871697	0.303355126	2.731329588	15.8582275
MS_9357	2-phenethylamine-C16:0	8.569754211	8.897408231	71.93556266	724.6266042		MS_9357	2-phenethylamine-C16:0	0.365562467	5.574059015	4.094202644	54.3945944
MS_5940	Spermidine-C16:0	4.040474317	4.333956698	21.38121062	75.40647115		MS_5940	Spermidine-C16:0	0.569688842	0.462431796	2.725207588	6.275784953
MS_8145	Leucine-C16:1	6.345517392	5.464798701	46.2522105	202.9345583		MS_8145	Leucine-C16:1	0.582090131	0.246896542	4.818012424	13.59145846
MS_8680	Leucine-C16:0	10.39579381	8.144372358	22.84549712	267.5999202		MS_8680	Leucine-C16:0	0.8818171	0.31417663	2.686063683	34.82807839
MS_8430	Tyramine-C16:0	2.439097686	2.177433492	7.617453733	109.1228564		MS_8430	Tyramine-C16:0	1.011825575	0.490335702	1.17433276	8.474421879
MS_8604	Valine-C18:1	7.421069403	5.046051873	42.10915736	261.9083316		MS_8604	Valine-C18:1	0.311571664	0.412531415	4.020443263	31.50189295
MS_6227	Glutamic acid-C16:1	11.99436445	11.09397922	373.6128625	1132.060756		MS_6227	Glutamic acid-C16:1	0.766445728	0.717800615	8.12923024	32.74001757
MS_7729	2-phenethylamine-C18:2	6.243930311	4.941908522	15.03335467	81.77865532		MS_7729	2-phenethylamine-C18:2	0.455686211	0.338358373	0.859729701	5.9890465
MS_9099	2-phenethylamine-C18:2	33.13724763	26.42176182	41.90979643	253.8479709		MS_9099	2-phenethylamine-C18:2	4.74683705	2.649799918	5.026466693	14.03911061
MS_7031	Glutamic acid-C16:0	174.3022792	132.9945825	717.8700692	2374.335911		MS_7031	Glutamic acid-C16:0	36.73411011	29.30687392	66.84219344	153.3585
MS_9439	2-phenethylamine-C18:1	8.697083044	4.679235168	107.2167485	818.8208319		MS_9439	2-phenethylamine-C18:1	0.208237939	1.730338719	6.923671196	60.10451052
MS_9753	2-phenethylamine-C18:0	3.818907969	3.061579077	16.19362641	99.27526961		MS_9753	2-phenethylamine-C18:0	0.094517258	8.17211701	0.806307313	9.035128928
MS_6327	Spermidine-C18:1	1.456988025	2.091619325	19.91208434	57.82375611		MS_6327	Spermidine-C18:1	0.818482519	0.221152433	0.828200144	5.7279405
MS_8388	Leucine-C18:2	6.11565875	6.130465932	17.44898952	89.48659237		MS_8388	Leucine-C18:2	1.056410931	0.55669622	3.11241297	5.5165889
MS_8927	Leucine-C18:1	8.5628018	7.169441469	97.87256855	596.6332441		MS_8927	Leucine-C18:1	2.257189036	1.788124346	8.430748365	56.75288584
MS_6828	Glutamic acid-C17:1	45.70785982	42.66367111	71.55321255	142.4428687		MS_6828	Glutamic acid-C17:1	10.72177707	6.193066544	11.69701934	10.94284257
MS_9383	Leucine-C18:0	4.412240536	4.133863405	7.008690991	41.88580514		MS_9383	Leucine-C18:0	1.3017414	0.869483832	1.326088427	4.155694496
MS_8429	Tyramine-C18:1	3.085157083	3.81435303	15.67320478	102.6060063		MS_8429	Tyramine-C18:1	0.296353325	0.201185005	1.636957919	10.13332442
MS_8640	Phenylalanine-C16:0	7.239372814	6.873867274	13.50022297	81.8368816		MS_8640	Phenylalanine-C16:0	0.270148467	0.514142707	1.786323325	8.861143094
MS_5531	Glutamic acid-C18:1	5.556328217	7.051695553	51.90761551	227.2716672		MS_5531	Glutamic acid-C18:1	0.873118181	0.473245074	1.890492724	4.427372335
MS_7295	Glutamic acid-C18:1	43.291293	34.50347918	913.3720697	3181.050222		MS_7295	Glutamic acid-C18:1	3.350991536	1.90580775	29.45075101	190.7480463
MS_8016	Glutamic acid-C18:0	216.9036558	166.6744648	297.0685327	406.6981406		MS_8016	Glutamic acid-C18:0	41.77059139	27.85735564	48.48554395	57.33673909
MS_8880	Phenylalanine-C18:1	7.227827839	7.303366771	19.46442587	90.73175214		MS_8880	Phenylalanine-C18:1	1.727002453	0.759831953	2.587317327	9.645315367