Compound	Group	Presence	annotation	Tail		Compound	Group	Presence	annotation	Tail		Compound	Group	Presence	annotation	Tail		Compound	Group	Presence	annotation	Tail
Histamine-C3:0	Humans	TRUE	C3:0	Short		Lysine-C11:0	Humans	TRUE	C11:0	Medium		Asparagine-C15:0	Humans	TRUE	C15:0	Long		Tyramine-C30:2	Foods	TRUE	C30:2	Very long
Histamine-C3:0	Rodents	TRUE	C3:0	Short		Lysine-C11:0	Microbes	TRUE	C11:0	Medium		Asparagine-C15:0	Rodents	TRUE	C15:0	Long		Tyramine-C30:2	Plants	TRUE	C30:2	Very long
Leucine-C3:0	Humans	TRUE	C3:0	Short		Tryptamine-C11:0	Microbes	TRUE	C11:0	Medium		Asparagine-C15:0	Microbes	TRUE	C15:0	Long						
Methionine-C3:0	Humans	TRUE	C3:0	Short		Tyrosine-C11:0	Microbes	TRUE	C11:0	Medium		Cadaverine-C15:0	Humans	TRUE	C15:0	Long						
Methionine-C3:0	Microbes	TRUE	C3:0	Short		Glutamic acid-C11:1	Humans	TRUE	C11:1	Medium		Cadaverine-C15:0	Microbes	TRUE	C15:0	Long						
Methionine-C3:0	Foods	TRUE	C3:0	Short		Glutamine-C11:1	Humans	TRUE	C11:1	Medium		Citrulline-C15:0	Humans	TRUE	C15:0	Long						
N-acetylcadaverine-C3:0	Humans	TRUE	C3:0	Short		Glutamine-C11:1	Microbes	TRUE	C11:1	Medium		Citrulline-C15:0	Microbes	TRUE	C15:0	Long						
N-acetylcadaverine-C3:0	Rodents	TRUE	C3:0	Short		Glutamine-C11:2	Humans	TRUE	C11:2	Medium		Glutamic acid-C15:0	Humans	TRUE	C15:0	Long						
Phenylalanine-C3:0	Humans	TRUE	C3:0	Short		Glutamine-C11:2	Microbes	TRUE	C11:2	Medium		Glutamic acid-C15:0	Microbes	TRUE	C15:0	Long						
Phenylalanine-C3:0	Rodents	TRUE	C3:0	Short		Histidine-C11:2	Foods	TRUE	C11:2	Medium		Glutamine-C15:0	Humans	TRUE	C15:0	Long						
Phenylalanine-C3:0	Foods	TRUE	C3:0	Short		Phenylalanine-C11:4	Microbes	TRUE	C11:4	Medium		Glutamine-C15:0	Rodents	TRUE	C15:0	Long						
Spermidine-C3:0	Humans	TRUE	C3:0	Short		Phenylalanine-C11:4	Foods	TRUE	C11:4	Medium		Glutamine-C15:0	Microbes	TRUE	C15:0	Long						
Spermidine-C3:0	Rodents	TRUE	C3:0	Short		Tryptamine-C11:4	Humans	TRUE	C11:4	Medium		Histidine-C15:0	Microbes	TRUE	C15:0	Long						
Threonine/homoserine-C3:0	Humans	TRUE	C3:0	Short		Tryptamine-C11:4	Microbes	TRUE	C11:4	Medium		Leucine-C15:0	Humans	TRUE	C15:0	Long						
Threonine/homoserine-C3:0	Rodents	TRUE	C3:0	Short		Alanine/Sarcosine-C12:0	Humans	TRUE	C12:0	Medium		Leucine-C15:0	Rodents	TRUE	C15:0	Long						
Threonine/homoserine-C3:0	Microbes	TRUE	C3:0	Short		Alanine/Sarcosine-C12:0	Rodents	TRUE	C12:0	Medium		Leucine-C15:0	Microbes	TRUE	C15:0	Long						
Tryptamine-C3:0	Microbes	TRUE	C3:0	Short		Aminoadipic acid-C12:0	Microbes	TRUE	C12:0	Medium		Leucine-C15:0	Foods	TRUE	C15:0	Long						
Tryptophan-C3:0	Humans	TRUE	C3:0	Short		Arginine-C12:0	Humans	TRUE	C12:0	Medium		Lysine-C15:0	Humans	TRUE	C15:0	Long						
Tryptophan-C3:0	Microbes	TRUE	C3:0	Short		Arginine-C12:0	Microbes	TRUE	C12:0	Medium		Lysine-C15:0	Rodents	TRUE	C15:0	Long						
Tryptophan-C3:0	Foods	TRUE	C3:0	Short		Arginine-C12:0	Foods	TRUE	C12:0	Medium		Lysine-C15:0	Microbes	TRUE	C15:0	Long						
Tyramine-C3:0	Humans	TRUE	C3:0	Short		Asparagine-C12:0	Humans	TRUE	C12:0	Medium		Methionine-C15:0	Rodents	TRUE	C15:0	Long						
Tyrosine-C3:0	Humans	TRUE	C3:0	Short		Asparagine-C12:0	Microbes	TRUE	C12:0	Medium		Methionine-C15:0	Microbes	TRUE	C15:0	Long						
Tyrosine-C3:0	Microbes	TRUE	C3:0	Short		Cadaverine-C12:0	Humans	TRUE	C12:0	Medium		Ornithine-C15:0	Microbes	TRUE	C15:0	Long						
Valine-C3:0	Humans	TRUE	C3:0	Short		Cadaverine-C12:0	Microbes	TRUE	C12:0	Medium		Phenylalanine-C15:0	Humans	TRUE	C15:0	Long						
Alanine/Sarcosine-C4:0	Humans	TRUE	C4:0	Short		Citrulline-C12:0	Humans	TRUE	C12:0	Medium		Phenylalanine-C15:0	Rodents	TRUE	C15:0	Long						
Alanine/Sarcosine-C4:0	Rodents	TRUE	C4:0	Short		Citrulline-C12:0	Microbes	TRUE	C12:0	Medium		Phenylalanine-C15:0	Microbes	TRUE	C15:0	Long						
Amylamine-C4:0	Rodents	TRUE	C4:0	Short		GABA-C12:0	Humans	TRUE	C12:0	Medium		Putrescine-C15:0	Humans	TRUE	C15:0	Long						
Amylamine-C4:0	Microbes	TRUE	C4:0	Short		GABA-C12:0	Microbes	TRUE	C12:0	Medium		Serine-C15:0	Humans	TRUE	C15:0	Long						
Cadaverine-C4:0	Humans	TRUE	C4:0	Short		GABA-C12:0	Foods	TRUE	C12:0	Medium		Serine-C15:0	Rodents	TRUE	C15:0	Long						
Cadaverine-C4:0	Rodents	TRUE	C4:0	Short		Glutamic acid-C12:0	Humans	TRUE	C12:0	Medium		Serine-C15:0	Microbes	TRUE	C15:0	Long						
GABA-C4:0	Humans	TRUE	C4:0	Short		Glutamine-C12:0	Humans	TRUE	C12:0	Medium		Threonine/homoserine-C15:0	Microbes	TRUE	C15:0	Long						
Glutamic acid-C4:0	Humans	TRUE	C4:0	Short		Glutamine-C12:0	Microbes	TRUE	C12:0	Medium		Tryptamine-C15:0	Humans	TRUE	C15:0	Long						
Glutamic acid-C4:0	Rodents	TRUE	C4:0	Short		Glutamine-C12:0	Foods	TRUE	C12:0	Medium		Tryptophan-C15:0	Microbes	TRUE	C15:0	Long						
Glutamic acid-C4:0	Microbes	TRUE	C4:0	Short		Histamine-C12:0	Humans	TRUE	C12:0	Medium		Tyramine-C15:0	Humans	TRUE	C15:0	Long						
Glycine-C4:0	Humans	TRUE	C4:0	Short		Histidine-C12:0	Humans	TRUE	C12:0	Medium		Tyramine-C15:0	Microbes	TRUE	C15:0	Long						
Glycine-C4:0	Rodents	TRUE	C4:0	Short		Histidine-C12:0	Foods	TRUE	C12:0	Medium		Tyrosine-C15:0	Rodents	TRUE	C15:0	Long						
Glycine-C4:0	Microbes	TRUE	C4:0	Short		Histidine-C12:0	Plants	TRUE	C12:0	Medium		Tyrosine-C15:0	Microbes	TRUE	C15:0	Long						
Histamine-C4:0	Humans	TRUE	C4:0	Short		Leucine-C12:0	Humans	TRUE	C12:0	Medium		Valine-C15:0	Humans	TRUE	C15:0	Long						
Histidine-C4:0	Humans	TRUE	C4:0	Short		Leucine-C12:0	Microbes	TRUE	C12:0	Medium		Valine-C15:0	Microbes	TRUE	C15:0	Long						
Histidine-C4:0	Rodents	TRUE	C4:0	Short		Leucine-C12:0	Foods	TRUE	C12:0	Medium		Alanine/Sarcosine-C15:1	Microbes	TRUE	C15:1	Long						
Histidine-C4:0	Foods	TRUE	C4:0	Short		Lysine-C12:0	Humans	TRUE	C12:0	Medium		Asparagine-C15:1	Microbes	TRUE	C15:1	Long						
Leucine-C4:0	Humans	TRUE	C4:0	Short		Lysine-C12:0	Rodents	TRUE	C12:0	Medium		Glutamic acid-C15:1	Humans	TRUE	C15:1	Long						
Leucine-C4:0	Rodents	TRUE	C4:0	Short		Lysine-C12:0	Microbes	TRUE	C12:0	Medium		Glutamic acid-C15:1	Microbes	TRUE	C15:1	Long						
Leucine-C4:0	Microbes	TRUE	C4:0	Short		Lysine-C12:0	Foods	TRUE	C12:0	Medium		Glutamine-C15:1	Humans	TRUE	C15:1	Long						
Leucine-C4:0	Foods	TRUE	C4:0	Short		Methionine-C12:0	Humans	TRUE	C12:0	Medium		Glutamine-C15:1	Microbes	TRUE	C15:1	Long						
Lysine-C4:0	Humans	TRUE	C4:0	Short		Methionine-C12:0	Microbes	TRUE	C12:0	Medium		Leucine-C15:1	Humans	TRUE	C15:1	Long						
Lysine-C4:0	Rodents	TRUE	C4:0	Short		Methionine-C12:0	Foods	TRUE	C12:0	Medium		Leucine-C15:1	Microbes	TRUE	C15:1	Long						
Lysine-C4:0	Microbes	TRUE	C4:0	Short		Phenylalanine-C12:0	Humans	TRUE	C12:0	Medium		Serine-C15:1	Microbes	TRUE	C15:1	Long						
Lysine-C4:0	Foods	TRUE	C4:0	Short		Phenylalanine-C12:0	Rodents	TRUE	C12:0	Medium		Threonine/homoserine-C15:1	Microbes	TRUE	C15:1	Long						
Methionine-C4:0	Humans	TRUE	C4:0	Short		Phenylalanine-C12:0	Microbes	TRUE	C12:0	Medium		Alanine/Sarcosine-C15:2	Microbes	TRUE	C15:2	Long						
Methionine-C4:0	Rodents	TRUE	C4:0	Short		Phenylalanine-C12:0	Foods	TRUE	C12:0	Medium		Glutathione-C15:4	Rodents	TRUE	C15:4	Long						
Methionine-C4:0	Microbes	TRUE	C4:0	Short		Serine-C12:0	Humans	TRUE	C12:0	Medium		Histidine-C15:4	Humans	TRUE	C15:4	Long						
Methionine-C4:0	Foods	TRUE	C4:0	Short		Serine-C12:0	Microbes	TRUE	C12:0	Medium		2-aminovaleric acid-C16:0	Humans	TRUE	C16:0	Long						
N-acetylcadaverine-C4:0	Humans	TRUE	C4:0	Short		Taurine-C12:0	Humans	TRUE	C12:0	Medium		2-aminovaleric acid-C16:0	Rodents	TRUE	C16:0	Long						
N-acetylornithine-C4:0	Humans	TRUE	C4:0	Short		Threonine/homoserine-C12:0	Humans	TRUE	C12:0	Medium		2-aminovaleric acid-C16:0	Microbes	TRUE	C16:0	Long						
N-acetylornithine-C4:0	Rodents	TRUE	C4:0	Short		Threonine/homoserine-C12:0	Microbes	TRUE	C12:0	Medium		2-aminovaleric acid-C16:0	Plants	TRUE	C16:0	Long						
N-acetylputrescine-C4:0	Humans	TRUE	C4:0	Short		Tryptamine-C12:0	Humans	TRUE	C12:0	Medium		2-phenethylamine-C16:0	Humans	TRUE	C16:0	Long						
Phenylalanine-C4:0	Humans	TRUE	C4:0	Short		Tryptophan-C12:0	Humans	TRUE	C12:0	Medium		2-phenethylamine-C16:0	Rodents	TRUE	C16:0	Long						
Phenylalanine-C4:0	Rodents	TRUE	C4:0	Short		Tyramine-C12:0	Humans	TRUE	C12:0	Medium		2-phenethylamine-C16:0	Foods	TRUE	C16:0	Long						
Phenylalanine-C4:0	Microbes	TRUE	C4:0	Short		Tyrosine-C12:0	Humans	TRUE	C12:0	Medium		2-phenethylamine-C16:0	Plants	TRUE	C16:0	Long						
Phenylalanine-C4:0	Foods	TRUE	C4:0	Short		Tyrosine-C12:0	Microbes	TRUE	C12:0	Medium		Alanine/Sarcosine-C16:0	Humans	TRUE	C16:0	Long						
Putrescine-C4:0	Humans	TRUE	C4:0	Short		Tyrosine-C12:0	Foods	TRUE	C12:0	Medium		Alanine/Sarcosine-C16:0	Rodents	TRUE	C16:0	Long						
Putrescine-C4:0	Rodents	TRUE	C4:0	Short		Arginine-C12:1	Microbes	TRUE	C12:1	Medium		Alanine/Sarcosine-C16:0	Microbes	TRUE	C16:0	Long						
Spermidine-C4:0	Humans	TRUE	C4:0	Short		Glutamine-C12:1	Humans	TRUE	C12:1	Medium		Amylamine-C16:0	Humans	TRUE	C16:0	Long						
Spermidine-C4:0	Rodents	TRUE	C4:0	Short		Glutamine-C12:1	Microbes	TRUE	C12:1	Medium		Amylamine-C16:0	Rodents	TRUE	C16:0	Long						
Threonine/homoserine-C4:0	Humans	TRUE	C4:0	Short		Leucine-C12:1	Humans	TRUE	C12:1	Medium		Amylamine-C16:0	Microbes	TRUE	C16:0	Long						
Threonine/homoserine-C4:0	Microbes	TRUE	C4:0	Short		Lysine-C12:1	Microbes	TRUE	C12:1	Medium		Amylamine-C16:0	Foods	TRUE	C16:0	Long						
Tryptophan-C4:0	Humans	TRUE	C4:0	Short		Phenylalanine-C12:1	Humans	TRUE	C12:1	Medium		Amylamine-C16:0	Plants	TRUE	C16:0	Long						
Tryptophan-C4:0	Rodents	TRUE	C4:0	Short		Serine-C12:1	Microbes	TRUE	C12:1	Medium		Arginine-C16:0	Humans	TRUE	C16:0	Long						
Tryptophan-C4:0	Microbes	TRUE	C4:0	Short		Spermidine-C12:1	Rodents	TRUE	C12:1	Medium		Arginine-C16:0	Rodents	TRUE	C16:0	Long						
Tryptophan-C4:0	Foods	TRUE	C4:0	Short		Alanine/Sarcosine-C12:2	Humans	TRUE	C12:2	Medium		Arginine-C16:0	Microbes	TRUE	C16:0	Long						
Tyramine-C4:0	Humans	TRUE	C4:0	Short		Glycine-C12:2	Rodents	TRUE	C12:2	Medium		Arginine-C16:0	Foods	TRUE	C16:0	Long						
Tyramine-C4:0	Microbes	TRUE	C4:0	Short		Leucine-C12:2	Humans	TRUE	C12:2	Medium		Arginine-C16:0	Plants	TRUE	C16:0	Long						
Tyramine-C4:0	Plants	TRUE	C4:0	Short		Lysine-C12:2	Humans	TRUE	C12:2	Medium		Asparagine-C16:0	Humans	TRUE	C16:0	Long						
Tyrosine-C4:0	Humans	TRUE	C4:0	Short		Phenylalanine-C12:2	Humans	TRUE	C12:2	Medium		Asparagine-C16:0	Rodents	TRUE	C16:0	Long						
Tyrosine-C4:0	Rodents	TRUE	C4:0	Short		Tryptamine-C12:2	Rodents	TRUE	C12:2	Medium		Asparagine-C16:0	Microbes	TRUE	C16:0	Long						
Tyrosine-C4:0	Microbes	TRUE	C4:0	Short		Glutathione-C12:3	Rodents	TRUE	C12:3	Medium		Asparagine-C16:0	Foods	TRUE	C16:0	Long						
Tyrosine-C4:0	Foods	TRUE	C4:0	Short		Arginine-C12:4	Rodents	TRUE	C12:4	Medium		Asparagine-C16:0	Plants	TRUE	C16:0	Long						
Tyrosine-C4:0	Plants	TRUE	C4:0	Short		Arginine-C12:4	Microbes	TRUE	C12:4	Medium		Aspartic acid-C16:0	Plants	TRUE	C16:0	Long						
Cadaverine-C4:1	Humans	TRUE	C4:1	Short		Arginine-C12:4	Foods	TRUE	C12:4	Medium		Cadaverine-C16:0	Humans	TRUE	C16:0	Long						
N-acetylputrescine-C4:1	Humans	TRUE	C4:1	Short		Arginine-C12:4	Plants	TRUE	C12:4	Medium		Cadaverine-C16:0	Rodents	TRUE	C16:0	Long						
Tryptophan-C4:1	Foods	TRUE	C4:1	Short		2-phenethylamine-C7:0	Microbes	TRUE	C7:0	Medium		Cadaverine-C16:0	Microbes	TRUE	C16:0	Long						
2-aminovaleric acid-C5:0	Humans	TRUE	C5:0	Short		2-phenethylamine-C7:0	Foods	TRUE	C7:0	Medium		Cadaverine-C16:0	Foods	TRUE	C16:0	Long						
2-aminovaleric acid-C5:0	Rodents	TRUE	C5:0	Short		Amylamine-C7:0	Humans	TRUE	C7:0	Medium		Citrulline-C16:0	Humans	TRUE	C16:0	Long						
2-aminovaleric acid-C5:0	Microbes	TRUE	C5:0	Short		Cadaverine-C7:0	Humans	TRUE	C7:0	Medium		Citrulline-C16:0	Rodents	TRUE	C16:0	Long						
2-phenethylamine-C5:0	Humans	TRUE	C5:0	Short		Cadaverine-C7:0	Microbes	TRUE	C7:0	Medium		Citrulline-C16:0	Microbes	TRUE	C16:0	Long						
2-phenethylamine-C5:0	Microbes	TRUE	C5:0	Short		Glutamine-C7:0	Humans	TRUE	C7:0	Medium		Citrulline-C16:0	Foods	TRUE	C16:0	Long						
Alanine/Sarcosine-C5:0	Humans	TRUE	C5:0	Short		Leucine-C7:0	Humans	TRUE	C7:0	Medium		GABA-C16:0	Humans	TRUE	C16:0	Long						
Alanine/Sarcosine-C5:0	Microbes	TRUE	C5:0	Short		Lysine-C7:0	Humans	TRUE	C7:0	Medium		GABA-C16:0	Microbes	TRUE	C16:0	Long						
Amylamine-C5:0	Humans	TRUE	C5:0	Short		Lysine-C7:0	Rodents	TRUE	C7:0	Medium		GABA-C16:0	Plants	TRUE	C16:0	Long						
Amylamine-C5:0	Rodents	TRUE	C5:0	Short		Lysine-C7:0	Microbes	TRUE	C7:0	Medium		Glutamic acid-C16:0	Humans	TRUE	C16:0	Long						
Arginine-C5:0	Humans	TRUE	C5:0	Short		Phenylalanine-C7:0	Humans	TRUE	C7:0	Medium		Glutamic acid-C16:0	Rodents	TRUE	C16:0	Long						
Arginine-C5:0	Rodents	TRUE	C5:0	Short		Threonine/homoserine-C7:0	Humans	TRUE	C7:0	Medium		Glutamic acid-C16:0	Microbes	TRUE	C16:0	Long						
Arginine-C5:0	Microbes	TRUE	C5:0	Short		Tryptophan-C7:0	Rodents	TRUE	C7:0	Medium		Glutamic acid-C16:0	Plants	TRUE	C16:0	Long						
Arginine-C5:0	Foods	TRUE	C5:0	Short		Tryptophan-C7:0	Microbes	TRUE	C7:0	Medium		Glutamine-C16:0	Humans	TRUE	C16:0	Long						
Arginine-C5:0	Plants	TRUE	C5:0	Short		Glutamine-C7:1	Humans	TRUE	C7:1	Medium		Glutamine-C16:0	Rodents	TRUE	C16:0	Long						
Cadaverine-C5:0	Humans	TRUE	C5:0	Short		Glycine-C7:1	Humans	TRUE	C7:1	Medium		Glutamine-C16:0	Microbes	TRUE	C16:0	Long						
Cadaverine-C5:0	Rodents	TRUE	C5:0	Short		Glycine-C7:1	Rodents	TRUE	C7:1	Medium		Glutamine-C16:0	Foods	TRUE	C16:0	Long						
Cadaverine-C5:0	Microbes	TRUE	C5:0	Short		Glutamine-C7:2	Humans	TRUE	C7:2	Medium		Glutamine-C16:0	Plants	TRUE	C16:0	Long						
Citrulline-C5:0	Humans	TRUE	C5:0	Short		Glutathione-C7:3	Foods	TRUE	C7:3	Medium		Histidine-C16:0	Humans	TRUE	C16:0	Long						
Cystathionine-C5:0	Humans	TRUE	C5:0	Short		Glutathione-C7:3	Plants	TRUE	C7:3	Medium		Histidine-C16:0	Rodents	TRUE	C16:0	Long						
GABA-C5:0	Humans	TRUE	C5:0	Short		2-phenethylamine-C8:0	Microbes	TRUE	C8:0	Medium		Histidine-C16:0	Microbes	TRUE	C16:0	Long						
GABA-C5:0	Microbes	TRUE	C5:0	Short		2-phenethylamine-C8:0	Foods	TRUE	C8:0	Medium		Histidine-C16:0	Foods	TRUE	C16:0	Long						
Glutamine-C5:0	Humans	TRUE	C5:0	Short		2-phenethylamine-C8:0	Plants	TRUE	C8:0	Medium		Leucine-C16:0	Humans	TRUE	C16:0	Long						
Glutamine-C5:0	Rodents	TRUE	C5:0	Short		Alanine/Sarcosine-C8:0	Humans	TRUE	C8:0	Medium		Leucine-C16:0	Rodents	TRUE	C16:0	Long						
Glutamine-C5:0	Microbes	TRUE	C5:0	Short		Arginine-C8:0	Humans	TRUE	C8:0	Medium		Leucine-C16:0	Microbes	TRUE	C16:0	Long						
Histamine-C5:0	Humans	TRUE	C5:0	Short		Arginine-C8:0	Microbes	TRUE	C8:0	Medium		Leucine-C16:0	Foods	TRUE	C16:0	Long						
Histamine-C5:0	Rodents	TRUE	C5:0	Short		Arginine-C8:0	Foods	TRUE	C8:0	Medium		Leucine-C16:0	Plants	TRUE	C16:0	Long						
Histidine-C5:0	Humans	TRUE	C5:0	Short		Cadaverine-C8:0	Humans	TRUE	C8:0	Medium		Lysine-C16:0	Humans	TRUE	C16:0	Long						
Histidine-C5:0	Rodents	TRUE	C5:0	Short		Cadaverine-C8:0	Microbes	TRUE	C8:0	Medium		Lysine-C16:0	Rodents	TRUE	C16:0	Long						
Leucine-C5:0	Humans	TRUE	C5:0	Short		GABA-C8:0	Humans	TRUE	C8:0	Medium		Lysine-C16:0	Microbes	TRUE	C16:0	Long						
Leucine-C5:0	Rodents	TRUE	C5:0	Short		GABA-C8:0	Microbes	TRUE	C8:0	Medium		Lysine-C16:0	Foods	TRUE	C16:0	Long						
Leucine-C5:0	Foods	TRUE	C5:0	Short		Glutamic acid-C8:0	Humans	TRUE	C8:0	Medium		Methionine-C16:0	Humans	TRUE	C16:0	Long						
Lysine-C5:0	Humans	TRUE	C5:0	Short		Glutamic acid-C8:0	Microbes	TRUE	C8:0	Medium		Methionine-C16:0	Rodents	TRUE	C16:0	Long						
Lysine-C5:0	Rodents	TRUE	C5:0	Short		Glutamic acid-C8:0	Plants	TRUE	C8:0	Medium		Methionine-C16:0	Microbes	TRUE	C16:0	Long						
Methionine-C5:0	Humans	TRUE	C5:0	Short		Glycine-C8:0	Humans	TRUE	C8:0	Medium		Methionine-C16:0	Foods	TRUE	C16:0	Long						
Methionine-C5:0	Microbes	TRUE	C5:0	Short		Glycine-C8:0	Rodents	TRUE	C8:0	Medium		Phenylalanine-C16:0	Humans	TRUE	C16:0	Long						
Methionine-C5:0	Foods	TRUE	C5:0	Short		Histamine-C8:0	Foods	TRUE	C8:0	Medium		Phenylalanine-C16:0	Rodents	TRUE	C16:0	Long						
Phenylalanine-C5:0	Humans	TRUE	C5:0	Short		Histamine-C8:0	Plants	TRUE	C8:0	Medium		Phenylalanine-C16:0	Microbes	TRUE	C16:0	Long						
Phenylalanine-C5:0	Rodents	TRUE	C5:0	Short		Histidine-C8:0	Humans	TRUE	C8:0	Medium		Phenylalanine-C16:0	Foods	TRUE	C16:0	Long						
Phenylalanine-C5:0	Microbes	TRUE	C5:0	Short		Histidine-C8:0	Rodents	TRUE	C8:0	Medium		Putrescine-C16:0	Humans	TRUE	C16:0	Long						
Phenylalanine-C5:0	Foods	TRUE	C5:0	Short		Histidine-C8:0	Foods	TRUE	C8:0	Medium		Putrescine-C16:0	Rodents	TRUE	C16:0	Long						
Putrescine-C5:0	Humans	TRUE	C5:0	Short		Histidine-C8:0	Plants	TRUE	C8:0	Medium		Putrescine-C16:0	Microbes	TRUE	C16:0	Long						
Putrescine-C5:0	Rodents	TRUE	C5:0	Short		Leucine-C8:0	Humans	TRUE	C8:0	Medium		Putrescine-C16:0	Foods	TRUE	C16:0	Long						
Threonine/homoserine-C5:0	Microbes	TRUE	C5:0	Short		Leucine-C8:0	Microbes	TRUE	C8:0	Medium		Putrescine-C16:0	Plants	TRUE	C16:0	Long						
Tryptamine-C5:0	Microbes	TRUE	C5:0	Short		Leucine-C8:0	Foods	TRUE	C8:0	Medium		Serine-C16:0	Humans	TRUE	C16:0	Long						
Tryptophan-C5:0	Humans	TRUE	C5:0	Short		Leucine-C8:0	Plants	TRUE	C8:0	Medium		Serine-C16:0	Rodents	TRUE	C16:0	Long						
Tryptophan-C5:0	Rodents	TRUE	C5:0	Short		Lysine-C8:0	Humans	TRUE	C8:0	Medium		Serine-C16:0	Microbes	TRUE	C16:0	Long						
Tryptophan-C5:0	Microbes	TRUE	C5:0	Short		Lysine-C8:0	Rodents	TRUE	C8:0	Medium		Serine-C16:0	Foods	TRUE	C16:0	Long						
Tyrosine-C5:0	Humans	TRUE	C5:0	Short		Lysine-C8:0	Microbes	TRUE	C8:0	Medium		Serine-C16:0	Plants	TRUE	C16:0	Long						
Tyrosine-C5:0	Rodents	TRUE	C5:0	Short		Lysine-C8:0	Foods	TRUE	C8:0	Medium		Serotonin-C16:0	Foods	TRUE	C16:0	Long						
Tyrosine-C5:0	Microbes	TRUE	C5:0	Short		Methionine-C8:0	Humans	TRUE	C8:0	Medium		Serotonin-C16:0	Plants	TRUE	C16:0	Long						
Cadaverine-C5:1	Humans	TRUE	C5:1	Short		Methionine-C8:0	Microbes	TRUE	C8:0	Medium		Spermidine-C16:0	Humans	TRUE	C16:0	Long						
