Head	anal region	blood	brain	cerebrospinal fluid	feces	milk	nasal cavity	oral cavity	saliva	skin	urine	vagina	sum
Alanine/Sarcosine	0	7739	247	0	40255	0	607	31873	2818	216246	20	0	299805
Leucine	44	5428	3	110	107894	2	47	5094	2	11	185	2	118822
Phenylalanine	6	3027	1	0	46364	0	17	3272	2605	18	288	100	55698
Spermidine	0	0	26613	0	14669	0	0	13	7083	0	526	0	48904
Tyrosine	0	0	0	0	8893	150	0	6091	431	103	629	0	16297
Aspartic acid	0	0	4463	0	10	0	0	0	13	0	0	0	4486
Cadaverine	9	0	0	0	2917	0	0	295	518	0	101	2	3842
Glutamine	6	505	2	2	268	11	1	10	0	970	1538	15	3328
Tyramine	0	0	0	0	1765	0	0	978	17	10	0	0	2770
Tryptophan	0	171	0	0	1466	0	0	34	0	0	6	0	1677
GABA	33	0	1139	0	339	0	11	44	1	64	27	18	1676
Lysine	0	3	0	0	1442	5	0	37	26	0	7	0	1520
Glutamic acid	0	1	114	0	304	0	2	280	85	391	198	0	1375
Methionine	0	0	952	0	209	0	2	0	44	4	0	43	1254
Amylamine	11	83	0	94	77	2	12	592	6	35	2	14	928
Valine	0	3	0	0	776	0	3	56	4	18	1	0	861
N-acetylputrescine	0	0	0	0	299	0	0	1	152	2	325	8	787
N-acetylcadaverine	2	0	0	0	563	0	0	12	25	0	18	31	651
Putrescine	13	0	0	0	279	0	0	117	86	0	17	0	512
Aminoadipic acid	0	0	391	0	4	0	0	0	2	0	0	0	397
Tryptamine	0	0	0	0	361	0	0	0	1	0	14	4	380
Histamine	0	0	0	0	243	0	0	130	0	0	2	0	375
2-phenethylamine	1	0	0	0	112	0	0	205	1	33	0	9	361
Histidine	0	1	0	0	68	0	0	0	2	0	224	0	295
Glycine	0	4	0	0	112	0	1	5	5	41	119	3	290
Arginine	0	1	3	0	219	1	0	16	36	2	6	0	284
2-aminovaleric acid	0	8	0	0	229	0	1	0	1	0	0	0	239
Serotonin	0	0	0	0	221	0	0	0	1	0	0	0	222
Serine	2	16	1	0	103	0	2	15	10	46	0	14	209
N-acetylornithine	0	0	0	0	12	0	0	0	0	20	165	0	197
Citrulline	0	0	0	0	27	0	0	4	1	119	0	0	151
Threonine/homoserine	0	0	0	0	112	0	0	2	20	1	0	0	135
Asparagine	0	0	0	0	37	0	0	1	0	0	0	0	38
Kynurenine	0	0	0	0	9	0	0	0	2	0	0	0	11
Taurine	0	0	0	0	9	0	0	0	0	1	0	0	10
Cystathionine	0	0	0	0	9	0	0	0	0	0	0	0	9
Dopamine	0	0	0	0	4	0	0	0	0	0	0	0	4
5-methoxytryptamine	0	0	0	0	0	0	0	3	0	0	0	0	3
L-DOPA	0	0	0	0	2	0	0	0	1	0	0	0	3
3-methoxytyramine	0	0	0	0	2	0	0	0	0	0	0	0	2
3-methylhistidine	0	0	0	0	0	0	0	0	0	0	1	0	1