Variable	metadata	Coefficient	SE	N	P_Value	qval	Class
Alanine/Sarcosine-C5:0	rnlog10_plasma	0.010847	0.024406	203	0.657205	0.912784	Alanine/Sarcosine
Arginine-C15:0	rnlog10_plasma	0.002676	0.134758	203	0.984177	0.999997	Arginine
Arginine-C18:0	rnlog10_plasma	-0.00448	0.090698	203	0.960617	0.999997	Arginine
Arginine-C18:1	rnlog10_plasma	-0.05813	0.089468	203	0.516628	0.853809	Arginine
Arginine-C5:0	rnlog10_plasma	0.09704	0.10702	203	0.36563	0.76173	Arginine
Aspartic acid-C2:0	rnlog10_plasma	0.076178	0.064832	203	0.241496	0.689987	Aspartic acid
Cadaverine-C10:0	rnlog10_plasma	0.056519	0.091382	203	0.536953	0.853809	Cadaverine
Cadaverine-C16:0	rnlog10_plasma	-0.01465	0.043966	203	0.739258	0.924073	Cadaverine
Cadaverine-C18:0	rnlog10_plasma	-0.06969	0.04716	203	0.141131	0.64289	Cadaverine
Cadaverine-C2:0...14	rnlog10_plasma	0.166585	0.161378	203	0.303239	0.731216	Cadaverine
Cadaverine-C2:0...15	rnlog10_plasma	0.225167	0.153794	203	0.144759	0.64289	Cadaverine
Cadaverine-C3:0	rnlog10_plasma	0.130108	0.217437	203	0.550306	0.853809	Cadaverine
Cadaverine-C5:0	rnlog10_plasma	0.17881	0.226828	203	0.431463	0.814081	Cadaverine
Cadaverine-C6:0	rnlog10_plasma	0.156553	0.168794	203	0.354848	0.76173	Cadaverine
Cadaverine-C7:0	rnlog10_plasma	0.040577	0.066481	203	0.542842	0.853809	Cadaverine
Cadaverine-C8:0	rnlog10_plasma	0.03147	0.083902	203	0.707999	0.923712	Cadaverine
Dopamine-C2:0	rnlog10_plasma	-0.01811	0.098747	203	0.8547	0.989072	Dopamine
Glutamic acid-C2:0	rnlog10_plasma	0.025604	0.018647	203	0.171244	0.64289	Glutamic acid
Histamine-C10:0	rnlog10_plasma	0.177643	0.072895	203	0.015686	0.624556	Histamine
Histamine-C12:0	rnlog10_plasma	0.099957	0.098691	203	0.312366	0.731216	Histamine
Histamine-C15:0	rnlog10_plasma	-0.08914	0.068033	203	0.191594	0.64289	Histamine
Histamine-C16:0	rnlog10_plasma	-0.04747	0.066767	203	0.477895	0.853384	Histamine
Histamine-C18:1	rnlog10_plasma	-0.15472	0.10977	203	0.160237	0.64289	Histamine
Histamine-C18:2	rnlog10_plasma	-0.08209	0.087481	203	0.349201	0.76173	Histamine
Histamine-C2:0...29	rnlog10_plasma	0.138468	0.136863	203	0.312889	0.731216	Histamine
Histamine-C2:0...30	rnlog10_plasma	0.142176	0.126586	203	0.262711	0.707879	Histamine
Histamine-C3:0	rnlog10_plasma	0.095592	0.130886	203	0.466029	0.847325	Histamine
Histamine-C4:0...32	rnlog10_plasma	0.265489	0.14236	203	0.063652	0.64289	Histamine
Histamine-C4:0...33	rnlog10_plasma	0.185498	0.179711	203	0.303224	0.731216	Histamine
Histamine-C5:0...34	rnlog10_plasma	0.185571	0.184667	203	0.316176	0.731216	Histamine
Histamine-C5:0...35	rnlog10_plasma	0.107168	0.122265	203	0.381795	0.76359	Histamine
Histamine-C6:0...36	rnlog10_plasma	-0.01368	0.083084	203	0.869356	0.989072	Histamine
Histamine-C6:0...37	rnlog10_plasma	0.258324	0.159772	203	0.107511	0.64289	Histamine
Histidine-C5:0	rnlog10_plasma	0.245584	0.176601	203	0.165896	0.64289	Histidine
L-DOPA-C2:0	rnlog10_plasma	-0.01471	0.018027	203	0.415554	0.814081	LDOPA
Leucine-C14:0	rnlog10_plasma	-0.00838	0.115434	203	0.942168	0.999997	Leucine
Leucine-C16:0	rnlog10_plasma	0.015794	0.03428	203	0.645479	0.909126	Leucine
Leucine-C18:1...42	rnlog10_plasma	-0.0549	0.086427	203	0.52598	0.853809	Leucine
Leucine-C18:1...43	rnlog10_plasma	0.009674	0.030405	203	0.750696	0.926785	Leucine
Leucine-C18:2	rnlog10_plasma	-0.05783	0.046871	203	0.218755	0.68361	Leucine
Leucine-C4:0	rnlog10_plasma	-0.00438	0.012227	203	0.720496	0.923712	Leucine
Leucine-C5:0	rnlog10_plasma	0.0667	0.035966	203	0.065125	0.64289	Leucine
Leucine-C7:0	rnlog10_plasma	0.003227	0.004978	203	0.51795	0.853809	Leucine
Leucine-C9:4	rnlog10_plasma	-0.09067	0.080716	203	0.262664	0.707879	Leucine
Lysine-C16:0	rnlog10_plasma	-0.04232	0.034291	203	0.218575	0.68361	Lysine
Lysine-C18:1	rnlog10_plasma	-0.07065	0.05904	203	0.232885	0.684955	Lysine
Lysine-C18:2	rnlog10_plasma	-0.22963	0.105848	203	0.031228	0.624556	Lysine
Lysine-C2:0	rnlog10_plasma	-0.13507	0.171111	203	0.430822	0.814081	Lysine
Lysine-C5:0	rnlog10_plasma	0.085213	0.050547	203	0.093387	0.64289	Lysine
Methionine-C16:0	rnlog10_plasma	-0.027	0.041169	203	0.512697	0.853809	Methionine
Methionine-C18:2	rnlog10_plasma	-0.01417	0.038455	203	0.712859	0.923712	Methionine
Methionine-C3:0	rnlog10_plasma	0.002347	0.014008	203	0.867083	0.989072	Methionine
Methionine-C9:4	rnlog10_plasma	-0.01239	0.084341	203	0.883336	0.992513	Methionine
N-acetylcadaverine-C18:1	rnlog10_plasma	-0.01535	0.026534	203	0.563514	0.853809	Nacetylcadaverine
N-acetylcadaverine-C2:0	rnlog10_plasma	0.242003	0.182841	203	0.187166	0.64289	Nacetylcadaverine
N-acetylcadaverine-C3:0	rnlog10_plasma	0.179856	0.116789	203	0.125137	0.64289	Nacetylcadaverine
N-acetylcadaverine-C7:0	rnlog10_plasma	0.004588	0.091417	203	0.960021	0.999997	Nacetylcadaverine
N-acetylputrescine-C2:0...63	rnlog10_plasma	0.193752	0.109373	203	0.078008	0.64289	Nacetylputrescine
N-acetylputrescine-C2:0...64	rnlog10_plasma	0.008138	0.031895	203	0.798868	0.962491	Nacetylputrescine
N-acetylputrescine-C2:0...65	rnlog10_plasma	0.03514	0.018165	203	0.054459	0.64289	Nacetylputrescine
Phenylalanine-C18:2	rnlog10_plasma	-0.04571	0.030275	203	0.132761	0.64289	Phenylalanine
Phenylalanine-C18:3	rnlog10_plasma	-0.33275	0.150703	203	0.028388	0.624556	Phenylalanine
Phenylalanine-C4:0	rnlog10_plasma	-0.01315	0.025308	203	0.603948	0.875288	Phenylalanine
Putrescine-C14:0	rnlog10_plasma	0.007789	0.112131	203	0.944691	0.999997	Putrescine
Putrescine-C16:0	rnlog10_plasma	0.011977	0.058976	203	0.839281	0.989072	Putrescine
Putrescine-C18:0	rnlog10_plasma	-6.58E-13	8.21E-08	203	0.999995	0.999997	Putrescine
Putrescine-C2:0	rnlog10_plasma	-0.02463	0.016342	203	0.133379	0.64289	Putrescine
Putrescine-C4:0	rnlog10_plasma	0.377052	0.1737	203	0.031136	0.624556	Putrescine
Putrescine-C5:0...74	rnlog10_plasma	0.115979	0.11675	203	0.321735	0.731216	Putrescine
Putrescine-C5:0...75	rnlog10_plasma	0.104732	0.196493	203	0.594619	0.874439	Putrescine
Serotonin-C18:1	rnlog10_plasma	-0.00098	0.020608	203	0.962054	0.999997	Serotonin
Serotonin-C2:0	rnlog10_plasma	-0.03729	0.111763	203	0.738967	0.924073	Serotonin
Serotonin-C20:0	rnlog10_plasma	0.022236	0.073927	203	0.763895	0.93158	Serotonin
Spermidine-C16:0	rnlog10_plasma	-0.07557	0.08212	203	0.358556	0.76173	Spermidine
Spermidine-C18:1	rnlog10_plasma	-0.10581	0.068742	203	0.125327	0.64289	Spermidine
Spermidine-C18:2	rnlog10_plasma	-0.06402	0.049	203	0.192867	0.64289	Spermidine
Spermidine-C2:0	rnlog10_plasma	-0.03908	0.052429	203	0.456966	0.846234	Spermidine
Spermidine-C4:0...83	rnlog10_plasma	0.035439	0.056594	203	0.531904	0.853809	Spermidine
Spermidine-C4:0...84	rnlog10_plasma	0.02294	0.063728	203	0.719251	0.923712	Spermidine
Spermidine-C5:0	rnlog10_plasma	0.160989	0.145211	203	0.268994	0.707879	Spermidine
Threonine/homoserine-C4:0	rnlog10_plasma	0.367707	0.150805	203	0.015633	0.624556	Threonine/homoserine
Tryptophan-C16:0	rnlog10_plasma	-0.01499	0.035592	203	0.674018	0.923313	Tryptophan
Tryptophan-C18:1	rnlog10_plasma	-0.02257	0.044779	203	0.614717	0.878167	Tryptophan
Tryptophan-C18:2	rnlog10_plasma	-0.1408	0.078568	203	0.074623	0.64289	Tryptophan
Tryptophan-C3:0	rnlog10_plasma	0.003621	0.104427	203	0.972373	0.999997	Tryptophan
Tyramine-C10:0	rnlog10_plasma	0.009624	0.058907	203	0.870383	0.989072	Tyramine
Tyramine-C10:1	rnlog10_plasma	0.037562	0.063656	203	0.555803	0.853809	Tyramine
Tyramine-C18:1	rnlog10_plasma	-0.02424	0.062763	203	0.699727	0.923712	Tyramine
Tyramine-C18:2	rnlog10_plasma	-0.23118	0.112082	203	0.040446	0.64289	Tyramine
Tyramine-C2:0	rnlog10_plasma	-0.00761	0.082491	203	0.926545	0.999997	Tyramine
Tyramine-C6:0	rnlog10_plasma	-0.01178	0.008617	203	0.173014	0.64289	Tyramine
Tyrosine-C18:1	rnlog10_plasma	-0.04544	0.084031	203	0.5893	0.874439	Tyrosine
Tyrosine-C18:2	rnlog10_plasma	-0.09056	0.046112	203	0.05092	0.64289	Tyrosine
Tyrosine-C2:0	rnlog10_plasma	0.216842	0.125384	203	0.08528	0.64289	Tyrosine
Valine-C16:0	rnlog10_plasma	-0.06013	0.050117	203	0.231594	0.684955	Valine
Valine-C18:2	rnlog10_plasma	-0.11269	0.085699	203	0.190041	0.64289	Valine
2-aminovaleric acid-C2:0	rnlog10_plasma	-0.00101	0.04419	203	0.981717	0.999997	2aminovaleric acid
3-methylhistidine-C2:0	rnlog10_plasma	0.029715	0.033551	203	0.376848	0.76359	3methylhistidine
5-methoxytryptamine-C2:0	rnlog10_plasma	0.055695	0.037813	203	0.142344	0.64289	5methoxytryptamine